27131965806,Buy,EUR/MKD,58.823287,0,2263,0,New,1549391281879,"Car, Bussiness, Trip","Order for: Car, Bussiness, Trip",Green
27131965806,Buy,EUR/MKD,58.823287,0,2263,0,ToProvider,1549395840939,"Car, Bussiness, Trip","Order for: Car, Bussiness, Trip",Green
27131965806,Buy,EUR/MKD,58.823287,61.636094,2263,2263,Filled,1549398120469,"Car, Bussiness, Trip","Order for: Car, Bussiness, Trip",Green
24517804434850,Buy,EUR/USD,1.180976958,0,896,0,New,1549378068368,"PS, Games","Order for: PS, Games",Green
24517804434850,Buy,EUR/USD,1.180976958,0,896,0,ToProvider,1549389234183,"PS, Games","Order for: PS, Games",Green
24517804434850,Buy,EUR/USD,1.180976958,1.154031074,896,896,Filled,1549391012128,"PS, Games","Order for: PS, Games",Green
38360167762086,Buy,USD/MKD,53.238288000000004,0,2733,0,New,1549350066038,"Bitcoin, Study, XBOX","Order for: Bitcoin, Study, XBOX",Green
38360167762086,Buy,USD/MKD,53.238288000000004,0,2733,0,ToProvider,1549353439809,"Bitcoin, Study, XBOX","Order for: Bitcoin, Study, XBOX",Green
38360167762086,Buy,USD/MKD,53.238288000000004,0,2733,0,Rejected,1549356836781,"Bitcoin, Study, XBOX","Order for: Bitcoin, Study, XBOX",Green
32667397771369,Buy,USD/UAH,28.3670937,0,2726,0,New,1549047679959,"Car, Phone","Order for: Car, Phone",Green
32667397771369,Buy,USD/UAH,28.3670937,0,2726,0,ToProvider,1549309700232,"Car, Phone","Order for: Car, Phone",Green
32667397771369,Buy,USD/UAH,28.3670937,27.8301771,2726,2726,Filled,1549311850115,"Car, Phone","Order for: Car, Phone",Green
75086273271120,Sell,USD/RUB,62.51260593999999,0,603,0,New,1549398346976,"PC, PS, Bitbon","Order for: PC, PS, Bitbon",Green
75086273271120,Sell,USD/RUB,62.51260593999999,0,603,0,ToProvider,1549399373487,"PC, PS, Bitbon","Order for: PC, PS, Bitbon",Green
75086273271120,Sell,USD/RUB,62.51260593999999,64.99524568,603,603,Filled,1549399886743,"PC, PS, Bitbon","Order for: PC, PS, Bitbon",Green
29790796701302,Buy,GBP/RUB,85.73313599999999,0,3156,0,New,1549044216112,"Bitcoin, Music","Order for: Bitcoin, Music",Green
29790796701302,Buy,GBP/RUB,85.73313599999999,0,3156,0,ToProvider,1549049508055,"Bitcoin, Music","Order for: Bitcoin, Music",Green
29790796701302,Buy,GBP/RUB,85.73313599999999,0,3156,0,Rejected,1549052154027,"Bitcoin, Music","Order for: Bitcoin, Music",Green
16263081918100,Buy,GBP/USD,1.23982428,0,3873,0,New,1549025527220,"Trip, Bussiness","Order for: Trip, Bussiness",Green
16263081918100,Buy,GBP/USD,1.23982428,0,3873,0,ToProvider,1549037254840,"Trip, Bussiness","Order for: Trip, Bussiness",Green
16263081918100,Buy,GBP/USD,1.23982428,0,3873,0,Rejected,1549358606289,"Trip, Bussiness","Order for: Trip, Bussiness",Green
42042902856882,Sell,EUR/JPY,14.7827683,0,4186,0,New,1549231823254,"Games, PC, PS","Order for: Games, PC, PS",Green
42042902856882,Sell,EUR/JPY,14.7827683,0,4186,0,ToProvider,1549246207846,"Games, PC, PS","Order for: Games, PC, PS",Green
